"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Malay Night-heron","Gorsachius melanolophus","","","","6.17±0.07","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Southern Hill Myna","Gracula indica","X","-53.19±34.33","-6.29±11.25","9.84±0.03","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Common Hill Myna","Gracula religiosa","","-5.83±51.62","-2.11±9.28","16.41±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Asian Pied Starling","Gracupica contra","","38.95±29.9","1.62±3.91","130.2±0.06","Uncertain","Uncertain","Very Large","Low","Schedule-IV","LC"
"Indian Grass-babbler","Graminicola bengalensis","X","","","3.29±0.11","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Striated Laughingthrush","Grammatoptila striata","X","-7.42±60.98","-5.75±8.82","10.38±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grandala","Grandala coelicolor","","","","2.12±0.05","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Common Crane","Grus grus","","-72.85±14.2","-4.24±8.8","16.47±0.07","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Black-necked Crane","Grus nigricollis","","","","1.59±0.04","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Chestnut-shouldered Bush-sparrow","Gymnoris xanthocollis","","-37.02±14.78","-2.73±3.64","124.14±0.09","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Bearded Vulture","Gypaetus barbatus","","-60.92±27.78","-10.4±8.72","15.53±0.06","Moderate Decline","Moderate Decline","Moderate","Moderate","Schedule-I","NT"
"White-rumped Vulture","Gyps bengalensis","","-97.04±0.91","-17.69±3.04","24.39±0.08","Strong Decline","Strong Decline","Moderate","High","Schedule-I","CR"
"Griffon Vulture","Gyps fulvus","","-76.46±20.59","-10.55±10.44","15.98±0.1","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Himalayan Griffon","Gyps himalayensis","","-33.94±39.94","-4.24±9.12","12.24±0.07","Uncertain","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Indian Vulture","Gyps indicus","X","-90.09±4.26","-10.35±5.66","24.49±0.07","Strong Decline","Strong Decline","Moderate","High","Schedule-I","CR"
"Slender-billed Vulture","Gyps tenuirostris","","","","3.85±0.07","Data Deficient","Data Deficient","Restricted","High","Schedule-I","CR"
"Eurasian Oystercatcher","Haematopus ostralegus","","","-0.64±43.62","2.84±0.04","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","NT"
"Black-capped Kingfisher","Halcyon pileata","","-85.05±11.44","-5.75±11.24","8.52±0.05","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"White-breasted Kingfisher","Halcyon smyrnensis","","28.2±12.19","-2.72±1.35","217.45±0.07","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"White-bellied Sea-eagle","Haliaeetus leucogaster","","-72.59±20.29","-5.89±10.98","10.43±0.04","Strong Decline","Uncertain","Moderate","Moderate","Schedule-I","LC"
"Pallas's Fish-eagle","Haliaeetus leucoryphus","","-70.65±63.63","-4.05±34.36","0.39±0.06","Uncertain","Uncertain","Very Restricted","High","Schedule-I","EN"
"Brahminy Kite","Haliastur indus","","-12.58±25.49","0.95±5.46","72.46±0.06","Uncertain","Uncertain","Large","Low","Schedule-I","LC"
"Red-headed Trogon","Harpactes erythrocephalus","","","-2.09±36.29","6.26±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Malabar Trogon","Harpactes fasciatus","X","-57.84±23.6","-7.2±7.54","12.41±0.04","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Ward's Trogon","Harpactes wardi","X","","","0.23","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","NT"
"Heart-spotted Woodpecker","Hemicircus canente","","-66.52±15.51","-10.68±5.6","13.07±0.04","Strong Decline","Strong Decline","Moderate","High","Schedule-IV","LC"
"Crested Treeswift","Hemiprocne coronata","","-75.32±7.45","-9.36±3.79","56.64±0.08","Strong Decline","Strong Decline","Large","High","Schedule-IV","LC"
"Bar-winged Flycatcher-shrike","Hemipus picatus","","-51.29±16.69","-1.32±5.66","31.14±0.06","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Pale-footed Bush-warbler","Hemitesia pallidipes","","","","1.58±0.11","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
