eBird English Name,eBird Scientific Name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Breeding Period,Ground Nester (Open),Ground Nester (Concealed),Canopy Nester,mid story/Shrub/thicket nester,Earthen Cavity nester,Tree Cavity Nester,Cliff Nester,Nest in urban structures,Nest in urban gardens,Area of distribution range (sq. km.),Remarks
Nicobar Scops-Owl,Otus alius,50,0,50,0,0,0,0,0,0,0,Omnivore,Ref_5,C,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Indian Scops-Owl,Otus bakkamoena,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Collared Scops-Owl,Otus lettia,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,40,20,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Long-eared Owl,Asio otus,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Short-eared Owl,Asio flammeus,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,0,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Mottled Wood-Owl,Strix ocellata,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,80,20,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Brown Wood-Owl,Strix leptogrammica,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,10,70,20,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Tawny Owl,Strix aluco,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,10,70,10,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Himalayan Owl,Strix nivicolum,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Eagle-Owl,Bubo bubo,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Walter,,,,,,,,,,,,
Rock Eagle-Owl,Bubo bengalensis,10,70,10,10,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,10,80,10,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Spot-bellied Eagle-Owl,Bubo nipalensis,0,60,20,20,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,10,60,10,20,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Dusky Eagle-Owl,Bubo coromandus,0,70,20,10,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,20,60,10,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Brown Fish-Owl,Ketupa zeylonensis,30,10,20,40,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,80,20,0,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Tawny Fish-Owl,Ketupa flavipes,20,20,0,60,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,70,30,0,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Buffy Fish-Owl,Ketupa ketupu,10,10,20,60,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,90,10,0,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Malabar Trogon,Harpactes fasciatus,80,0,0,0,0,0,10,0,0,10,Invertebrate,Ref_6,A,Hamish,0,0,0,0,100,0,0,0,Ref_6,1,Christian,,,,,,,,,,,,
Red-headed Trogon,Harpactes erythrocephalus,70,0,0,0,0,0,10,0,10,10,Invertebrate,Ref_6,A,Hamish,0,0,0,10,60,30,0,0,Ref_6,1,Other,,,,,,,,,,,,
Ward's Trogon,Harpactes wardi,70,0,0,0,0,0,20,0,10,0,Invertebrate,Ref_6,A,Hamish,0,0,20,50,30,0,0,0,Ref_6,1,Christian,,,,,,,,,,,,
Great Hornbill,Buceros bicornis,20,10,10,0,0,0,60,0,0,0,FruiNect,Ref_6,A,Hamish,0,0,10,0,0,90,0,0,Ref_6,1,Christian,,,,,,,,,,,,
