species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
Rusty-throated Wren-Babbler,0.096,0.7080384,0.069,0.3125,238.3973,NA,NA,NA,NA,NA,R
Indian Scimitar-Babbler,0.055,27.5772435,0.0486,18.5043,238.3973,NA,NA,NA,NA,NA,R
Rusty-cheeked Scimitar-Babbler,0.074,10.6144658,0.0477,7.7674,238.3973,NA,NA,NA,NA,NA,R
Brown-cheeked Fulvetta,0.045,28.4993583,0.0539,18.2418,238.3973,NA,NA,NA,NA,NA,R
Striated Babbler,0.021,17.3220339,0.0728,8.8595,238.3973,NA,NA,NA,NA,NA,R
White-crested Laughingthrush,0.04,13.1159831,0.0696,7.4106,238.3973,NA,NA,NA,NA,NA,R
White-throated Laughingthrush,0.066,9.2572243,0.0432,6.6566,238.3973,NA,NA,NA,NA,NA,R
Scaly Laughingthrush,0.017,2.0996567,0.0604,0.9977,238.3973,NA,NA,NA,NA,NA,R
Variegated Laughingthrush,0.121,10.0637676,0.0529,6.9257,238.3973,NA,NA,NA,NA,NA,R
Chestnut-crowned Laughingthrush,0.091,8.9994844,0.0495,6.4571,238.3973,NA,NA,NA,NA,NA,R
Palani Laughingthrush,0.109,1.3454421,0.0347,1,238.3973,NA,NA,NA,NA,NA,R
Ashambu Laughingthrush,NA,NA,NA,0.1875,238.3973,NA,NA,NA,NA,NA,R
Rufous Sibia,0.16,11.1658442,0.048,8.4333,238.3973,NA,NA,NA,NA,NA,R
Gray Sibia,0.282,3.7331113,0.0621,2.3717,238.3973,NA,NA,NA,NA,NA,R
Red-billed Leiothrix,0.052,10.244479,0.0668,6.0906,238.3973,NA,NA,NA,NA,NA,R
Indian Robin,0.136,180.9643486,0.069,135.1858,238.3973,NA,NA,NA,NA,NA,R
Nilgiri Sholakili,0.008,1.5986807,0.0419,0.625,238.3973,NA,NA,NA,NA,NA,R
Red-breasted Flycatcher,NA,NA,NA,NA,NA,0.04,68.8682703,0.0899,36.5505,224.6366,W/P
Blue-fronted Redstart,0.065,16.6401098,0.0602,10.2688,238.3973,NA,NA,NA,NA,NA,R
Blue-capped Redstart,0.044,12.1112653,0.0596,7.5374,238.3973,NA,NA,NA,NA,NA,R
Common Hill Myna,0.08,16.4128631,0.0755,9.4873,238.3973,NA,NA,NA,NA,NA,R
Southern Hill Myna,0.117,9.8390465,0.0315,8.6482,238.3973,NA,NA,NA,NA,NA,R
Golden-fronted Leafbird,0.047,54.8961401,0.0628,35.2026,238.3973,NA,NA,NA,NA,NA,R
Crimson-backed Sunbird,0.071,17.1243275,0.0354,13.7909,238.3973,NA,NA,NA,NA,NA,R
Long-billed Sunbird,0.054,30.9574329,0.0535,21.6965,238.3973,NA,NA,NA,NA,NA,R
Nilgiri Pipit,0.024,0.9498318,0.0358,0.75,238.3973,NA,NA,NA,NA,NA,R
Yellow-breasted Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W/P
Chestnut-shouldered Petronia,0.033,124.1355171,0.0929,70.3979,238.3973,NA,NA,NA,NA,NA,R
