Rank,eBird Scientific Name 2019,Scientific Name
ssp,Dactylortyx thoracicus pettingilli,
ssp,Dactylortyx thoracicus thoracicus,
ssp,,
ssp,Dactylortyx thoracicus sharpei,
ssp,Dactylortyx thoracicus paynteri,
ssp,Dactylortyx thoracicus devius,
ssp,Dactylortyx thoracicus melodus,
ssp,Dactylortyx thoracicus chiapensis,
ssp,Dactylortyx thoracicus edwardsi,
ssp,Dactylortyx thoracicus ginetensis,
ssp,Dactylortyx thoracicus moorei,
ssp,Dactylortyx thoracicus dolichonyx,
ssp,Dactylortyx thoracicus calophonus,
ssp,Dactylortyx thoracicus salvadoranus,
ssp,Dactylortyx thoracicus taylori,
ssp,Dactylortyx thoracicus fuscus,
ssp,Dactylortyx thoracicus rufescens,
ssp,Dactylortyx thoracicus conoveri,
species,Cyrtonyx montezumae,Cyrtonyx montezumae
ssp,Cyrtonyx montezumae mearnsi,
ssp,Cyrtonyx montezumae montezumae,
ssp,,
ssp,Cyrtonyx montezumae rowleyi,
species,,Cyrtonyx sallei
ssp,Cyrtonyx montezumae sallei,
ssp,Cyrtonyx montezumae merriami,
species,Cyrtonyx ocellatus,Cyrtonyx ocellatus
ssp,,
ssp,,
species,Rhynchortyx cinctus,Rhynchortyx cinctus
ssp,Rhynchortyx cinctus pudibundus,
ssp,Rhynchortyx cinctus cinctus,
ssp,,
ssp,Rhynchortyx cinctus australis,
species,Meleagris gallopavo,Meleagris gallopavo
ssp,Meleagris gallopavo silvestris,
ssp,Meleagris gallopavo osceola,
ssp,Meleagris gallopavo intermedia,
ssp,Meleagris gallopavo mexicana,
ssp,,
ssp,Meleagris gallopavo merriami,
ssp,Meleagris gallopavo gallopavo,
species,Meleagris ocellata,Meleagris ocellata
species,Bonasa umbellus,Bonasa umbellus
ssp,Bonasa umbellus yukonensis,
ssp,Bonasa umbellus umbelloides,
ssp,Bonasa umbellus affinis,
ssp,Bonasa umbellus labradorensis,
ssp,Bonasa umbellus castanea,
ssp,,
ssp,Bonasa umbellus sabini,
ssp,Bonasa umbellus brunnescens,
ssp,Bonasa umbellus togata,
ssp,Bonasa umbellus thayeri,
ssp,Bonasa umbellus mediana,
ssp,Bonasa umbellus phaios,
ssp,Bonasa umbellus incana,
ssp,Bonasa umbellus monticola,
ssp,Bonasa umbellus umbellus,
ssp,,
species,Tetrastes bonasia,Bonasa bonasia
ssp,Tetrastes bonasia rhenanus,
ssp,Tetrastes bonasia styriacus,
ssp,Tetrastes bonasia schiebeli,
ssp,Tetrastes bonasia rupestris,
ssp,Tetrastes bonasia bonasia,
ssp,Tetrastes bonasia volgensis,
ssp,Tetrastes bonasia griseonota,
ssp,Tetrastes bonasia sibiricus,
ssp,Tetrastes bonasia kolymensis,
ssp,Tetrastes bonasia amurensis,
ssp,,
ssp,Tetrastes bonasia yamashinai,
ssp,Tetrastes bonasia vicinitas,
species,Tetrastes sewerzowi,Bonasa sewerzowi
ssp,,
ssp,,
species,Falcipennis falcipennis,Falcipennis falcipennis
species,Falcipennis canadensis,Falcipennis canadensis
ssp,Falcipennis canadensis osgoodi,
ssp,Falcipennis canadensis atratus,
ssp,,
ssp,Falcipennis canadensis canadensis,
ssp,Falcipennis canadensis torridus,
ssp,Falcipennis canadensis canace,
species,,Falcipennis franklinii
ssp,Falcipennis canadensis franklinii,
species,Tetrao urogallus,Tetrao urogallus
ssp,Tetrao urogallus cantabricus,
ssp,Tetrao urogallus aquitanicus,
ssp,Tetrao urogallus crassirostris,
ssp,,
ssp,Tetrao urogallus volgensis,
ssp,Tetrao urogallus urogallus,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,Tetrao urogallus kureikensis,
ssp,,
ssp,Tetrao urogallus uralensis,
ssp,,
ssp,Tetrao urogallus taczanowskii,
species,Tetrao urogalloides,Tetrao urogalloides
ssp,Tetrao urogalloides urogalloides,
ssp,,
ssp,,
ssp,,
ssp,Tetrao urogalloides stegmanni,
ssp,Tetrao urogalloides kamtschaticus,
species,Tetrao tetrix,Lyrurus tetrix
ssp,Tetrao tetrix britannicus,
ssp,Tetrao tetrix tetrix,
ssp,Tetrao tetrix viridanus,
ssp,Tetrao tetrix tschusii,
ssp,Tetrao tetrix baikalensis,
ssp,Tetrao tetrix mongolicus,
ssp,Tetrao tetrix ussuriensis,
species,Tetrao mlokosiewiczi,Lyrurus mlokosiewiczi
species,Centrocercus urophasianus,Centrocercus urophasianus
species,Centrocercus minimus,Centrocercus minimus
species,Dendragapus obscurus,Dendragapus obscurus
ssp,Dendragapus obscurus richardsonii,
ssp,Dendragapus obscurus pallidus,
