Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,CITES.Appendix,CMS.Appendix,Long.Term.Trend.Mean,Long.Term.Trend.Lower,Long.Term.Trend.Upper,Long.Term.Trend,Current.Annual.Change.Mean,Current.Annual.Change.Lower,Current.Annual.Change.Upper,Current.Annual.Change,Range.Size.Mean,Range.Size.Lower,Range.Size.Upper,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Brown-capped Laughingthrush,Trochalopteron austeni,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,0.25,0.25,0.25,0.25,Data Deficient,Data Deficient,Very Restricted,High
Blue-winged Laughingthrush,Trochalopteron squamatum,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,3.7890403,3.6942403,3.8838403,3.79±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Variegated Laughingthrush,Trochalopteron variegatum,R,Least Concern,Schedule-IV,,Appendix II,,,,,-8.837728964,-23.53188196,5.856424036,-8.84±14.69,10.0637676,10.0108676,10.1166676,10.06±0.05,Data Deficient,Uncertain,Moderate,Low
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,R,Least Concern,Schedule-IV,,Appendix II,32.44907413,-77.20140577,142.099554,32.45±109.65,-10.04742183,-20.17263822,0.07779456,-10.05±10.13,8.9994844,8.9499844,9.0489844,9±0.05,Uncertain,Uncertain,Moderate,Low
Assam Laughingthrush,Trochalopteron chrysopterum,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,2.3429952,2.2599952,2.4259952,2.34±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Banasura Laughingthrush,Montecincla jerdoni,R,Endangered,Schedule-IV,,Appendix II,,,,,,,,,0.1875,0.1875,0.1875,0.19,Data Deficient,Data Deficient,Very Restricted,High
Nilgiri Laughingthrush,Montecincla cachinnans,R,Endangered,Schedule-IV,,Appendix II,-59.0495516,-100,18.55520026,-59.05±77.6,18.84527363,-35.73250614,73.4230534,18.85±54.58,0.6329915,0.6007915,0.6651915,0.63±0.03,Uncertain,Uncertain,Very Restricted,High
Palani Laughingthrush,Montecincla fairbanki,R,Near Threatened,Schedule-IV,,Appendix II,114.9472089,-100,483.8244219,114.95±368.88,-5.957507914,-23.38273974,11.46772392,-5.96±17.43,1.3454421,1.3107421,1.3801421,1.35±0.03,Uncertain,Uncertain,Restricted,Moderate
Ashambu Laughingthrush,Montecincla meridionalis,R,Vulnerable,Schedule-IV,,Appendix II,,,,,,,,,0.1875,0.1875,0.1875,0.19,Data Deficient,Data Deficient,Very Restricted,High
Rufous Sibia,Heterophasia capistrata,R,Least Concern,Schedule-IV,,Appendix II,31.99936966,-53.03375634,117.0324957,32±85.03,3.658608503,-8.909862397,16.2270794,3.66±12.57,11.1658442,11.1178442,11.2138442,11.17±0.05,Uncertain,Uncertain,Moderate,Low
Grey Sibia,Heterophasia gracilis,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,3.7331113,3.6710113,3.7952113,3.73±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Beautiful Sibia,Heterophasia pulchella,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,3.6506993,3.5869993,3.7143993,3.65±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Silver-eared Mesia,Leiothrix argentauris,R,Least Concern,Schedule-IV,Appendix II,Appendix II,,,,,-12.53303623,-43.90236389,18.83629143,-12.53±31.37,9.2706938,9.2092938,9.3320938,9.27±0.06,Data Deficient,Uncertain,Moderate,Low
Red-billed Leiothrix,Leiothrix lutea,R,Least Concern,Schedule-IV,Appendix II,Appendix II,70.02356532,-60.53272218,200.5798528,70.02±130.56,-3.387208923,-14.59274296,7.818325117,-3.39±11.21,10.244479,10.177679,10.311279,10.24±0.07,Uncertain,Uncertain,Moderate,Low
Red-tailed Minla,Minla ignotincta,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,6.6607419,6.5624419,6.7590419,6.66±0.1,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-backed Sibia,Leioptila annectens,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,3.2090975,3.1398975,3.2782975,3.21±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Bugun Liocichla,Liocichla bugunorum,R,Critically Endangered,Schedule-IV,,Appendix II,,,,,,,,,0.0625,0.0625,0.0625,0.06,Data Deficient,Data Deficient,Very Restricted,High
Red-faced Liocichla,Liocichla phoenicea,R,Least Concern,Schedule-IV,,Appendix II,,,,,8.828154243,-75.82808791,93.48439639,8.83±84.66,4.7669555,4.6620555,4.8718555,4.77±0.1,Data Deficient,Uncertain,Moderate,Low
Hoary-throated Barwing,Sibia nipalensis,R,Least Concern,Schedule-IV,,Appendix II,,,,,-8.909903483,-21.60633188,3.786524917,-8.91±12.7,1.5277769,1.4822769,1.5732769,1.53±0.05,Data Deficient,Uncertain,Restricted,Moderate
Streak-throated Barwing,Sibia waldeni,R,Least Concern,Schedule-IV,,Appendix II,,,,,12.5761706,-22.4171937,47.5695349,12.58±34.99,3.283678,3.174878,3.392478,3.28±0.11,Data Deficient,Uncertain,Restricted,Moderate
Rusty-fronted Barwing,Actinodura egertoni,R,Least Concern,Schedule-IV,,Appendix II,,,,,-9.461823597,-30.83122148,11.90757428,-9.46±21.37,5.7670705,5.6896705,5.8444705,5.77±0.08,Data Deficient,Uncertain,Moderate,Low
Blue-winged Minla,Siva cyanouroptera,R,Least Concern,Schedule-IV,,Appendix II,,,,,-2.104699687,-21.43574847,17.22634909,-2.1±19.33,10.585855,10.526655,10.645055,10.59±0.06,Data Deficient,Uncertain,Moderate,Low
Chestnut-tailed Minla,Chrysominla strigula,R,Least Concern,Schedule-IV,,Appendix II,-27.43037455,-78.28183651,23.42108741,-27.43±50.85,-9.426012661,-18.18224845,-0.669776875,-9.43±8.76,10.3726857,10.3142857,10.4310857,10.37±0.06,Uncertain,Uncertain,Moderate,Low
Asian Fairy-bluebird,Irena puella,R,Least Concern,Schedule-IV,,,-58.02308387,-76.6441094,-39.40205834,-58.02±18.62,-1.038742401,-8.801292512,6.72380771,-1.04±7.76,18.8654244,18.8239244,18.9069244,18.87±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Dark-sided Flycatcher,Muscicapa sibirica,LM,Least Concern,Schedule-IV,,Appendix II,-22.46769737,-93.03494282,48.09954808,-22.47±70.57,1.169565422,-14.87096543,17.21009627,1.17±16.04,6.9933966,6.9079966,7.0787966,6.99±0.09,Uncertain,Uncertain,Moderate,Low
Asian Brown Flycatcher,Muscicapa dauurica,LM,Least Concern,Schedule-IV,,Appendix II,-42.39733942,-59.12193592,-25.67274292,-42.4±16.72,-2.108495152,-6.54470621,2.327715906,-2.11±4.44,14.1756328,14.0323328,14.3189328,14.18±0.14,Moderate Decline,Uncertain,Moderate,Moderate
Brown-breasted Flycatcher,Muscicapa muttui,W/P,Least Concern,Schedule-IV,,Appendix II,-1.686934976,-52.375735,49.00186504,-1.69±50.69,1.763224333,-6.745832578,10.27228124,1.76±8.51,18.9182652,18.8679652,18.9685652,18.92±0.05,Uncertain,Uncertain,Moderate,Low
Indian Robin,Saxicoloides fulicatus,R,Least Concern,Schedule-IV,,Appendix II,-7.235416524,-21.74333905,7.272506006,-7.24±14.51,-1.784679482,-4.371654496,0.802295532,-1.78±2.59,180.9643486,180.8953486,181.0333486,180.96±0.07,Stable,Uncertain,Very Large,Low
Oriental Magpie Robin,Copsychus saularis,R,Least Concern,Schedule-IV,,Appendix II,30.35076671,15.66673321,45.03480021,30.35±14.68,0.497306689,-1.38677033,2.381383708,0.5±1.88,193.7238663,193.6389663,193.8087663,193.72±0.08,Stable,Stable,Very Large,Low
White-rumped Shama,Kittacincla malabarica,R,Least Concern,Schedule-IV,,Appendix II,-12.6062288,-44.64042472,19.42796712,-12.61±32.03,-1.955349952,-8.057532128,4.146832224,-1.96±6.1,49.9835522,49.9163522,50.0507522,49.98±0.07,Uncertain,Uncertain,Large,Low
Andaman Shama,Kittacincla albiventris,R,Least Concern,Schedule-IV,,Appendix II,,,,,0.790682011,-13.15833201,14.73969603,0.79±13.95,0.4863068,0.4580068,0.5146068,0.49±0.03,Data Deficient,Uncertain,Restricted,Moderate
White-gorgeted Flycatcher,Anthipes monileger,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,4.932822,4.680522,5.185122,4.93±0.25,Data Deficient,Data Deficient,Moderate,Moderate
Nilgiri Sholakili,Sholicola major,R,Endangered,Schedule-IV,,Appendix II,,,,,19.18696837,-43.26404351,81.63798025,19.19±62.45,1.5986807,1.5567807,1.6405807,1.6±0.04,Data Deficient,Uncertain,Restricted,High
White-bellied Sholakili,Sholicola albiventris,R,Vulnerable,Schedule-IV,,Appendix II,-12.30086598,-100,155.3704993,-12.3±167.67,1.083405761,-27.80150414,29.96831566,1.08±28.88,1.0657352,1.0310352,1.1004352,1.07±0.03,Uncertain,Uncertain,Restricted,High
White-bellied Blue Flycatcher,Cyornis pallidipes,R,Least Concern,Schedule-IV,,Appendix II,-83.24509752,-91.31195965,-75.1782354,-83.25±8.07,-1.900021284,-9.939369012,6.139326444,-1.9±8.04,10.8645362,10.8230362,10.9060362,10.86±0.04,Strong Decline,Uncertain,Moderate,Moderate
Pale-chinned Flycatcher,Cyornis poliogenys,R,Least Concern,Schedule-IV,,Appendix II,,,,,2.266652197,-21.5920008,26.1253052,2.27±23.86,7.6546606,7.5874606,7.7218606,7.65±0.07,Data Deficient,Uncertain,Moderate,Low
Blue-throated Flycatcher,Cyornis rubeculoides,LM,Least Concern,Schedule-IV,,Appendix II,-42.2105301,-100,17.4468721,-42.21±59.66,3.386826005,-18.16738247,24.94103448,3.39±21.55,5.0494669,4.9638669,5.1350669,5.05±0.09,Uncertain,Uncertain,Moderate,Low
Large Blue Flycatcher,Cyornis magnirostris,S,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,,,,,Data Deficient,Data Deficient,Data Deficient,High
Tickell's Blue Flycatcher,Cyornis tickelliae,R,Least Concern,Schedule-IV,,Appendix II,-5.920074038,-29.63572922,17.79558114,-5.92±23.72,2.916537171,-1.887336362,7.720410704,2.92±4.8,84.1720476,84.0959476,84.2481476,84.17±0.08,Stable,Uncertain,Large,Low
Nicobar Jungle Flycatcher,Cyornis nicobaricus,R,Near Threatened,Schedule-IV,,Appendix II,,,,,,,,,0.0769,0.0769,0.0769,0.08,Data Deficient,Data Deficient,Restricted,Moderate
Large Niltava,Niltava grandis,R,Least Concern,Schedule-IV,,Appendix II,,,,,0.477650743,-22.06260193,23.01790341,0.48±22.54,7.902259,7.813859,7.990659,7.9±0.09,Data Deficient,Uncertain,Moderate,Low
Small Niltava,Niltava macgrigoriae,R,Least Concern,Schedule-IV,,Appendix II,23.37857212,-62.27756788,109.0347121,23.38±85.66,-0.618886872,-12.72567419,11.48790045,-0.62±12.11,16.5233866,16.4393866,16.6073866,16.52±0.08,Uncertain,Uncertain,Moderate,Low
Rufous-bellied Niltava,Niltava sundara,R,Least Concern,Schedule-IV,,Appendix II,-29.10505078,-65.09654269,6.88644113,-29.11±35.99,-12.4235657,-17.86992807,-6.977203332,-12.42±5.45,16.514507,16.449807,16.579207,16.51±0.06,Uncertain,Strong Decline,Moderate,Moderate
Nilgiri Flycatcher,Eumyias albicaudatus,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,4.0704318,4.0376318,4.1032318,4.07±0.03,Data Deficient,Data Deficient,Restricted,Moderate
Verditer Flycatcher,Eumyias thalassinus,LM,Least Concern,Schedule-IV,,Appendix II,1.284337806,-30.29816137,32.86683699,1.28±31.58,0.955545011,-4.612245473,6.523335495,0.96±5.57,11.7349202,11.6827202,11.7871202,11.73±0.05,Uncertain,Uncertain,Moderate,Low
Rusty-bellied Shortwing,Brachypteryx hyperythra,R,Near Threatened,Schedule-IV,,Appendix II,,,,,,,,,2.2386757,2.1345757,2.3427757,2.24±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Gould's Shortwing,Heteroxenicus stellatus,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,0.8806343,0.8464343,0.9148343,0.88±0.03,Data Deficient,Data Deficient,Restricted,Moderate
Lesser Shortwing,Brachypteryx leucophris,R,Least Concern,Schedule-IV,,Appendix II,,,,,-4.053629806,-67.46907582,59.3618162,-4.05±63.42,8.3629116,8.2490116,8.4768116,8.36±0.11,Data Deficient,Uncertain,Moderate,Low
Indian Blue Robin,Larvivora brunnea,LM,Least Concern,Schedule-IV,,Appendix II,-62.3992475,-100,-24.70910347,-62.4±37.69,3.372753985,-17.18202589,23.92753386,3.37±20.55,5.4397427,5.3665427,5.5129427,5.44±0.07,Uncertain,Uncertain,Moderate,Low
Bluethroat,Luscinia svecica,LM,Least Concern,Schedule-IV,,Appendix II,-30.78167807,-62.12821271,0.56485657,-30.78±31.35,1.554945665,-6.719153193,9.829044523,1.55±8.27,56.4738304,56.3843304,56.5633304,56.47±0.09,Uncertain,Uncertain,Large,Low
Malabar Whistling Thrush,Myophonus horsfieldii,R,Least Concern,Schedule-IV,,Appendix II,-48.20029088,-73.92269698,-22.47788478,-48.2±25.72,-5.803643871,-12.98702177,1.37973403,-5.8±7.18,18.7470431,18.7107431,18.7833431,18.75±0.04,Uncertain,Uncertain,Moderate,Low
Blue Whistling Thrush,Myophonus caeruleus,R,Least Concern,Schedule-IV,,Appendix II,-8.69561559,-41.31110187,23.91987069,-8.7±32.62,0.604987052,-5.886608202,7.096582306,0.6±6.49,30.5716709,30.5208709,30.6224709,30.57±0.05,Uncertain,Uncertain,Large,Low
Little Forktail,Enicurus scouleri,R,Least Concern,Schedule-IV,,Appendix II,-29.8045674,-77.53233882,17.92320402,-29.8±47.73,-3.567316613,-14.2317394,7.097106177,-3.57±10.66,15.3638852,15.2883852,15.4393852,15.36±0.08,Uncertain,Uncertain,Moderate,Low
Spotted Forktail,Enicurus maculatus,R,Least Concern,Schedule-IV,,Appendix II,-16.00162384,-63.32296454,31.31971686,-16±47.32,-3.701883116,-12.1435536,4.739787372,-3.7±8.44,16.6013821,16.5401821,16.6625821,16.6±0.06,Uncertain,Uncertain,Moderate,Low
Black-backed Forktail,Enicurus immaculatus,R,Least Concern,Schedule-IV,,Appendix II,,,,,-3.380284561,-85.97689849,79.21632937,-3.38±82.6,10.9888868,10.9046868,11.0730868,10.99±0.08,Data Deficient,Uncertain,Moderate,Low
Slaty-backed Forktail,Enicurus schistaceus,R,Least Concern,Schedule-IV,,Appendix II,,,,,9.426111815,-43.92269372,62.77491735,9.43±53.35,10.2618886,10.1897886,10.3339886,10.26±0.07,Data Deficient,Uncertain,Moderate,Low
Siberian Rubythroat,Calliope calliope,W/P,Least Concern,Schedule-IV,,Appendix II,,,,,-14.15661197,-26.82830981,-1.48491413,-14.16±12.67,4.9652817,4.8732817,5.0572817,4.97±0.09,Data Deficient,Moderate Decline,Moderate,Moderate
Himalayan Rubythroat,Calliope pectoralis,R,Least Concern,Schedule-IV,,Appendix II,,,,,29.8168143,-67.77785676,127.4114854,29.82±97.59,11.9599905,11.8303905,12.0895905,11.96±0.13,Data Deficient,Uncertain,Moderate,Low
Chinese Rubythroat,Calliope tschebaiewi,LM,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,0.125,0.125,0.125,0.12±0.02,Data Deficient,Data Deficient,Very Restricted,High
White-tailed Robin,Myiomela leucura,R,Least Concern,Schedule-IV,,Appendix II,,,,,-19.82848114,-28.47639325,-11.18056903,-19.83±8.65,7.8470161,7.7344161,7.9596161,7.85±0.11,Data Deficient,Strong Decline,Moderate,Moderate
Blue-fronted Robin,Cinclidium frontale,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,2.4459591,2.3535591,2.5383591,2.45±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Himalayan Bush Robin,Tarsiger rufilatus,R,Least Concern,Schedule-IV,,Appendix II,-27.39975314,-82.12094777,27.32144149,-27.4±54.72,8.399799631,-8.497993199,25.29759246,8.4±16.9,14.8011995,14.7352995,14.8670995,14.8±0.07,Uncertain,Uncertain,Moderate,Low
Rufous-breasted Bush Robin,Tarsiger hyperythrus,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,2.6956664,2.6239664,2.7673664,2.7±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Golden Bush Robin,Tarsiger chrysaeus,R,Least Concern,Schedule-IV,,Appendix II,,,,,-0.02137032,-48.17884959,48.13610895,-0.02±48.16,9.9338485,9.8357485,10.0319485,9.93±0.1,Data Deficient,Uncertain,Moderate,Low
Black-and-orange Flycatcher,Ficedula nigrorufa,R,Least Concern,Schedule-IV,,Appendix II,,,,,3.781338907,-12.8153214,20.37799922,3.78±16.6,3.3119233,3.2736233,3.3502233,3.31±0.04,Data Deficient,Uncertain,Restricted,Moderate
Slaty-blue Flycatcher,Ficedula tricolor,R,Least Concern,Schedule-IV,,Appendix II,-44.66737182,-87.43592221,-1.89882143,-44.67±42.77,-4.826350864,-16.67752741,7.024825686,-4.83±11.85,18.8223648,18.7010648,18.9436648,18.82±0.12,Uncertain,Uncertain,Moderate,Low
Snowy-browed Flycatcher,Ficedula hyperythra,R,Least Concern,Schedule-IV,,Appendix II,,,,,-1.871725796,-65.15854185,61.41509025,-1.87±63.29,11.9281579,11.7896579,12.0666579,11.93±0.14,Data Deficient,Uncertain,Moderate,Low
Pygmy Blue Flycatcher,Ficedula hodgsoni,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,6.4484125,6.3153125,6.5815125,6.45±0.13,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-gorgeted Flycatcher,Ficedula strophiata,R,Least Concern,Schedule-IV,,Appendix II,-52.02517337,-90.52015182,-13.53019492,-52.03±38.49,-5.304361899,-17.077603,6.468879201,-5.3±11.77,16.7982673,16.7206673,16.8758673,16.8±0.08,Uncertain,Uncertain,Moderate,Low
Sapphire Flycatcher,Ficedula sapphira,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,5.8528744,5.7409744,5.9647744,5.85±0.11,Data Deficient,Data Deficient,Moderate,Moderate
Little Pied Flycatcher,Ficedula westermanni,R,Least Concern,Schedule-IV,,Appendix II,-52.53912921,-87.06652235,-18.01173607,-52.54±34.53,-1.745388878,-14.0324898,10.54171204,-1.75±12.29,13.9430593,13.8467593,14.0393593,13.94±0.1,Uncertain,Uncertain,Moderate,Low
Ultramarine Flycatcher,Ficedula superciliaris,LM,Least Concern,Schedule-IV,,Appendix II,-31.00748865,-67.85814178,5.84316448,-31.01±36.85,-0.933982617,-10.26482502,8.396859782,-0.93±9.33,6.7374955,6.6781955,6.7967955,6.74±0.06,Uncertain,Uncertain,Moderate,Low
Rusty-tailed Flycatcher,Ficedula ruficauda,LM,Least Concern,Schedule-IV,,Appendix II,-74.78777703,-100,10.36891251,-74.79±85.16,-10.97549311,-52.24756802,30.2965818,-10.98±41.27,1.7892248,1.5914248,1.9870248,1.79±0.2,Uncertain,Uncertain,Restricted,Moderate
Taiga Flycatcher,Ficedula albicilla,W/P,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,,,,,,,,
Kashmir Flycatcher,Ficedula subrubra,LM,Vulnerable,Schedule-IV,,Appendix II,,,,,,,,,0.9338504,0.8909504,0.9767504,0.93±0.04,Data Deficient,Data Deficient,Restricted,High
Red-breasted Flycatcher,Ficedula parva,W/P,Least Concern,Schedule-IV,,Appendix II,-28.1023891,-52.79025709,-3.41452111,-28.1±24.69,-4.365819942,-9.750054326,1.018414442,-4.37±5.38,68.8682703,68.7783703,68.9581703,68.87±0.09,Stable,Uncertain,Large,Low
Blue-fronted Redstart,Phoenicurus frontalis,R,Least Concern,Schedule-IV,,Appendix II,-56.62693529,-94.25459913,-18.99927145,-56.63±37.63,3.441997733,-13.90243776,20.78643322,3.44±17.34,16.6401098,16.5799098,16.7003098,16.64±0.06,Uncertain,Uncertain,Moderate,Low
Plumbeous Water Redstart,Phoenicurus fuliginosus,R,Least Concern,Schedule-IV,,Appendix II,-25.04094788,-57.12658729,7.04469153,-25.04±32.09,-9.494253813,-14.61236209,-4.376145534,-9.49±5.12,26.0587375,25.9943375,26.1231375,26.06±0.06,Uncertain,Strong Decline,Large,Moderate
White-capped Water Redstart,Phoenicurus leucocephalus,R,Least Concern,Schedule-IV,,Appendix II,-28.76865398,-59.69896952,2.16166156,-28.77±30.93,-3.673366104,-10.454359,3.10762679,-3.67±6.78,29.6250991,29.5628991,29.6872991,29.63±0.06,Uncertain,Uncertain,Large,Low
Blue-capped Redstart,Phoenicurus coeruleocephala,R,Least Concern,Schedule-IV,,Appendix II,,,,,8.132060988,-16.44759782,32.7117198,8.13±24.58,12.1112653,12.0516653,12.1708653,12.11±0.06,Data Deficient,Uncertain,Moderate,Low
White-winged Redstart,Phoenicurus erythrogastrus,R,Least Concern,Schedule-IV,,Appendix II,,,,,-16.44867282,-29.22540939,-3.67193625,-16.45±12.78,7.1820186,7.1217186,7.2423186,7.18±0.06,Data Deficient,Strong Decline,Moderate,Moderate
Black Redstart,Phoenicurus ochruros,LM,Least Concern,Schedule-IV,,Appendix II,-45.85947083,-64.10690032,-27.61204134,-45.86±18.25,-4.180777023,-9.552573319,1.191019273,-4.18±5.37,81.2940738,81.2127738,81.3753738,81.29±0.08,Moderate Decline,Uncertain,Large,Moderate
Chestnut-bellied Rock Thrush,Monticola rufiventris,R,Least Concern,Schedule-IV,,Appendix II,-5.066303714,-56.29713048,46.16452306,-5.07±51.23,-4.892961737,-12.41152931,2.62560584,-4.89±7.52,17.2438466,17.1787466,17.3089466,17.24±0.07,Uncertain,Uncertain,Moderate,Low
Blue-capped Rock Thrush,Monticola cinclorhyncha,LM,Least Concern,Schedule-IV,,Appendix II,-37.30059666,-64.40537978,-10.19581354,-37.3±27.1,-2.57091731,-9.192867028,4.051032408,-2.57±6.62,10.3561617,10.2026617,10.5096617,10.36±0.15,Uncertain,Uncertain,Moderate,Low
Blue Rock Thrush,Monticola solitarius,LM,Least Concern,Schedule-IV,,Appendix II,-71.3722405,-86.81327566,-55.93120534,-71.37±15.44,-6.090934502,-14.54046007,2.358591061,-6.09±8.45,56.6823178,56.5740178,56.7906178,56.68±0.11,Strong Decline,Uncertain,Large,Moderate
Stoliczka's Bushchat,Saxicola macrorhynchus,R,Vulnerable,Schedule-IV,,Appendix II,,,,,,,,,5.2820416,5.2047416,5.3593416,5.28±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Hodgson's Bushchat,Saxicola insignis,W/P,Vulnerable,Schedule-IV,,Appendix II,,,,,,,,,,,,,Data Deficient,Data Deficient,Data Deficient,High
Siberian Stonechat,Saxicola maurus,LM,Least Concern,Schedule-IV,,Appendix II,-3.604050648,-31.52354539,24.31544409,-3.6±27.92,0.638585516,-4.604651842,5.881822874,0.64±5.24,99.9084766,99.8236766,99.9932766,99.91±0.08,Uncertain,Uncertain,Large,Low
Pied Bushchat,Saxicola caprata,LM,Least Concern,Schedule-IV,,Appendix II,11.3577061,-8.72902286,31.44443506,11.36±20.09,-3.01324175,-5.926642501,-0.099840999,-3.01±2.91,61.8691059,61.7968059,61.9414059,61.87±0.07,Stable,Uncertain,Large,Low
Grey Bushchat,Saxicola ferreus,R,Least Concern,Schedule-IV,,Appendix II,9.787798051,-43.61943694,63.19503304,9.79±53.41,-6.418910809,-13.36442363,0.526602016,-6.42±6.95,29.8413913,29.7820913,29.9006913,29.84±0.06,Uncertain,Uncertain,Large,Low
Brown Rock Chat,Oenanthe fusca,R,Least Concern,Schedule-IV,,Appendix II,4.446751539,-24.09388209,32.98738517,4.45±28.54,11.66641768,5.084560612,18.24827475,11.67±6.58,76.1251744,76.0380744,76.2122744,76.13±0.09,Uncertain,Strong Increase,Large,Low
Variable Wheatear,Oenanthe picata,W/P,Least Concern,Schedule-IV,,Appendix II,-58.42839568,-100,1.47692069,-58.43±59.91,-7.753292825,-27.70089538,12.19430973,-7.75±19.95,19.0140038,18.9345038,19.0935038,19.01±0.08,Uncertain,Uncertain,Moderate,Low
Desert Wheatear,Oenanthe deserti,LM,Least Concern,Schedule-IV,,Appendix II,-58.36333776,-100,-9.55965515,-58.36±48.8,-2.263256296,-21.59574252,17.06922992,-2.26±19.33,21.1724529,21.1017529,21.2431529,21.17±0.07,Uncertain,Uncertain,Moderate,Low
Isabelline Wheatear,Oenanthe isabellina,W/P,Least Concern,Schedule-IV,,Appendix II,,,,,2.685123895,-10.70532045,16.07556824,2.69±13.39,14.8357262,14.7550262,14.9164262,14.84±0.08,Data Deficient,Uncertain,Moderate,Low
Grandala,Grandala coelicolor,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,2.1249721,2.0732721,2.1766721,2.12±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Long-tailed Thrush,Zoothera dixoni,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,5.5099758,5.3435758,5.6763758,5.51±0.17,Data Deficient,Data Deficient,Moderate,Moderate
Alpine Thrush,Zoothera mollissima,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,5.4674689,5.3824689,5.5524689,5.47±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Dark-sided Thrush,Zoothera marginata,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,2.7237305,2.5348305,2.9126305,2.72±0.19,Data Deficient,Data Deficient,Restricted,Moderate
Long-billed Thrush,Zoothera monticola,R,Least Concern,Schedule-IV,,Appendix II,,,,,-4.537687233,-47.14507242,38.06969796,-4.54±42.61,6.6055337,6.5193337,6.6917337,6.61±0.09,Data Deficient,Uncertain,Moderate,Low
Scaly Thrush,Zoothera dauma,R,Least Concern,Schedule-IV,,Appendix II,,,,,23.923375,-16.57872177,64.42547177,23.92±40.5,16.1032668,15.8177668,16.3887668,16.1±0.29,Data Deficient,Uncertain,Moderate,Low
Nilgiri Thrush,Zoothera neilgherriensis,R,Least Concern,Schedule-IV,,Appendix II,,,,,-15.45184402,-24.86477991,-6.038908129,-15.45±9.41,2.3250621,2.2724621,2.3776621,2.33±0.05,Data Deficient,Strong Decline,Restricted,High
Purple Cochoa,Cochoa purpurea,LM,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,0.6055941,0.4508941,0.7602941,0.61±0.15,Data Deficient,Data Deficient,Restricted,Moderate
Pied Thrush,Geokichla wardii,LM,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,1.0138856,0.8797856,1.1479856,1.01±0.13,Data Deficient,Data Deficient,Restricted,Moderate
Orange-headed Thrush,Geokichla citrina,LM,Least Concern,Schedule-IV,,Appendix II,-51.76472905,-65.80397713,-37.72548097,-51.76±14.04,-1.320637491,-6.164532103,3.523257121,-1.32±4.84,25.7854807,25.7237807,25.8471807,25.79±0.06,Moderate Decline,Uncertain,Large,Moderate
Mistle Thrush,Turdus viscivorus,R,Least Concern,Schedule-IV,,Appendix II,,,,,-9.347262337,-20.78689064,2.092365963,-9.35±11.44,8.8654776,8.7906776,8.9402776,8.87±0.07,Data Deficient,Uncertain,Moderate,Low
Grey-winged Blackbird,Turdus boulboul,R,Least Concern,Schedule-IV,,Appendix II,-33.60963755,-73.15605646,5.93678136,-33.61±39.55,-0.412183236,-11.01629223,10.19192575,-0.41±10.6,16.6108884,16.5465884,16.6751884,16.61±0.06,Uncertain,Uncertain,Moderate,Low
Indian Blackbird,Turdus simillimus,LM,Least Concern,Schedule-IV,,Appendix II,-26.2681739,-62.14953036,9.61318256,-26.27±35.88,5.85623405,-4.99454104,16.70700914,5.86±10.85,10.6462976,10.5979976,10.6945976,10.65±0.05,Uncertain,Uncertain,Moderate,Low
