"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
646,"Chestnut-backed Laughingthrush","Garrulax nuchalis","Chestnut-backed Laughingthrush","Chestnut-backed Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Near Threatened","Schedule-IV","","",NA,NA,NA,NA,0.1875,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","Invertebrate","","","","","","Grassland/Scrub","","Invertebrate"
647,"Yellow-throated Laughingthrush","Garrulax galbanus","Yellow-throated Laughingthrush","Yellow-throated Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,1.6537546,0.0968,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
648,"Wayanad Laughingthrush","Garrulax delesserti","Wynaad Laughingthrush","Wayanad Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,4.7478032,0.0479000000000003,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","Western-Ghats","Invertebrate"
649,"Rufous-vented Laughingthrush","Garrulax gularis","Rufous-vented Laughingthrush","Rufous-vented Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,1.4632999,0.1169,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
650,"Grey-sided Laughingthrush","Garrulax caerulatus","Gray-sided Laughingthrush","Gray-sided Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","X","X",-77.77412732,20.22675232,-16.15015441,8.0705595,2.2370902,0.0660000000000003,"Strong Decline","Strong Decline","Restricted","High","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
651,"Streaked Laughingthrush","Trochalopteron lineatum","Streaked Laughingthrush","Streaked Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","X","X",27.12952804,86.41289231,0.691449421,11.80412427,15.6410251,0.0450999999999997,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
652,"Bhutan Laughingthrush","Trochalopteron imbricatum","Bhutan Laughingthrush","Bhutan Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-0.903326258,27.00646252,0.7958099,0.0679000000000001,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
653,"Striped Laughingthrush","Trochalopteron virgatum","Striped Laughingthrush","Striped Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,1.277068,0.0790999999999999,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
654,"Scaly Laughingthrush","Trochalopteron subunicolor","Scaly Laughingthrush","Scaly Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-2.276592635,21.27222052,2.0996567,0.0604,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
655,"Brown-capped Laughingthrush","Trochalopteron austeni","Brown-capped Laughingthrush","Brown-capped Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,0.25,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","Omnivore","","","","","","Forests","","Omnivorous"
656,"Blue-winged Laughingthrush","Trochalopteron squamatum","Blue-winged Laughingthrush","Blue-winged Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,3.7890403,0.0948000000000002,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Omnivore","","","","","","Forests","","Omnivorous"
657,"Variegated Laughingthrush","Trochalopteron variegatum","Variegated Laughingthrush","Variegated Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-8.837728964,14.694153,10.0637676,0.0528999999999993,"Data Deficient","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Generalists","","Fruit-Nectar"
658,"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","Chestnut-crowned Laughingthrush","Chestnut-crowned Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","X","X",32.44907413,109.6504799,-10.04742183,10.12521639,8.9994844,0.0495000000000001,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
659,"Assam Laughingthrush","Trochalopteron chrysopterum","Assam Laughingthrush","Assam Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,2.3429952,0.0830000000000002,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
660,"Banasura Laughingthrush","Montecincla jerdoni","Banasura Laughingthrush","Banasura Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Endangered","Schedule-IV","","",NA,NA,NA,NA,0.1875,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","","","","","","","Forests","Western-Ghats",""
661,"Nilgiri Laughingthrush","Montecincla cachinnans","Nilgiri Laughingthrush","Nilgiri Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Endangered","Schedule-IV","X","X",-59.0495516,77.60475186,18.84527363,54.57777977,0.6329915,0.0322,"Uncertain","Uncertain","Very Restricted","High","Resident","Invertebrate","","","","","","Generalists","Western-Ghats","Invertebrate"
662,"Palani Laughingthrush","Montecincla fairbanki","Palani Laughingthrush","Palani Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Near Threatened","Schedule-IV","X","X",114.9472089,368.877213,-5.957507914,17.42523183,1.3454421,0.0347,"Uncertain","Uncertain","Restricted","Moderate","Resident","FruiNect","","","","","","Generalists","Western-Ghats","Fruit-Nectar"
663,"Ashambu Laughingthrush","Montecincla meridionalis","Ashambu Laughingthrush","Ashambu Laughingthrush","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,0.1875,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","","","","","","","Forests","Western-Ghats",""
664,"Rufous Sibia","Heterophasia capistrata","Rufous Sibia","Rufous Sibia","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","X","X",31.99936966,85.033126,3.658608503,12.5684709,11.1658442,0.048,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
665,"Grey Sibia","Heterophasia gracilis","Gray Sibia","Gray Sibia","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,3.7331113,0.0621,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
666,"Beautiful Sibia","Heterophasia pulchella","Beautiful Sibia","Beautiful Sibia","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,3.6506993,0.0637000000000003,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
667,"Silver-eared Mesia","Leiothrix argentauris","Silver-eared Mesia","Silver-eared Mesia","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-12.53303623,31.36932766,9.2706938,0.0614000000000008,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
668,"Red-billed Leiothrix","Leiothrix lutea","Red-billed Leiothrix","Red-billed Leiothrix","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","X","X",70.02356532,130.5562875,-3.387208923,11.20553404,10.244479,0.0668000000000006,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
669,"Red-tailed Minla","Minla ignotincta","Red-tailed Minla","Red-tailed Minla","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,6.6607419,0.0983000000000001,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
670,"Rufous-backed Sibia","Leioptila annectens","Rufous-backed Sibia","Rufous-backed Sibia","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,3.2090975,0.0691999999999999,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
671,"Bugun Liocichla","Liocichla bugunorum","Bugun Liocichla","Bugun Liocichla","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Critically Endangered","Schedule-IV","","",NA,NA,NA,NA,0.0625,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","Omnivore","","","","","","Generalists","","Omnivorous"
672,"Red-faced Liocichla","Liocichla phoenicea","Red-faced Liocichla","Red-faced Liocichla","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,8.828154243,84.65624215,4.7669555,0.1049,"Data Deficient","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","","Omnivorous"
673,"Hoary-throated Barwing","Sibia nipalensis","Hoary-throated Barwing","Hoary-throated Barwing","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-8.909903483,12.6964284,1.5277769,0.0454999999999999,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
674,"Streak-throated Barwing","Sibia waldeni","Streak-throated Barwing","Streak-throated Barwing","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,12.5761706,34.9933643,3.283678,0.1088,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Omnivore","","","","","","Forests","","Omnivorous"
675,"Rusty-fronted Barwing","Actinodura egertoni","Rusty-fronted Barwing","Rusty-fronted Barwing","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-9.461823597,21.36939788,5.7670705,0.0773999999999999,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
676,"Blue-winged Minla","Siva cyanouroptera","Blue-winged Minla","Blue-winged Minla","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-2.104699687,19.33104878,10.585855,0.0591999999999988,"Data Deficient","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Forests","","Omnivorous"
677,"Chestnut-tailed Minla","Chrysominla strigula","Chestnut-tailed Minla","Chestnut-tailed Minla","Laughingthrushes and Allies","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Least Concern","Schedule-IV","X","X",-27.43037455,50.85146196,-9.426012661,8.756235786,10.3726857,0.0584000000000007,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
678,"Asian Fairy-bluebird","Irena puella","Asian Fairy-bluebird","Asian Fairy-bluebird","Fairy-bluebirds","Passeriformes","Irenidae (Fairy-bluebirds)","Least Concern","Schedule-IV","X","X",-58.02308387,18.62102553,-1.038742401,7.762550111,18.8654244,0.0415000000000028,"Moderate Decline","Uncertain","Moderate","Moderate","Resident","FruiNect","","","","","","Forests","Resident-Non-Endemics","Fruit-Nectar"
679,"Dark-sided Flycatcher","Muscicapa sibirica","Dark-sided Flycatcher","Dark-sided Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-22.46769737,70.56724545,1.169565422,16.04053085,6.9933966,0.0854000000000008,"Uncertain","Uncertain","Moderate","Low","Migratory-Local","Invertebrate","","","","","","Forests","","Invertebrate"
680,"Asian Brown Flycatcher","Muscicapa dauurica","Asian Brown Flycatcher","Asian Brown Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-42.39733942,16.7245965,-2.108495152,4.436211058,14.1756328,0.1433,"Moderate Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
681,"Brown-breasted Flycatcher","Muscicapa muttui","Brown-breasted Flycatcher","Brown-breasted Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-1.686934976,50.68880002,1.763224333,8.509056911,18.9182652,0.0503,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","Invertebrate","","","","","","Generalists","","Invertebrate"
682,"Indian Robin","Saxicoloides fulicatus","Indian Robin","Indian Robin","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-7.235416524,14.50792253,-1.784679482,2.586975014,180.9643486,0.0690000000000168,"Stable","Uncertain","Very Large","Low","Resident","Invertebrate","","","","","","Generalists","Others-Subcontinent","Invertebrate"
683,"Oriental Magpie Robin","Copsychus saularis","Oriental Magpie-Robin","Oriental Magpie-Robin","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",30.35076671,14.6840335,0.497306689,1.884077019,193.7238663,0.0849000000000046,"Stable","Stable","Very Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
684,"White-rumped Shama","Kittacincla malabarica","White-rumped Shama","White-rumped Shama","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-12.6062288,32.03419592,-1.955349952,6.102182176,49.9835522,0.0671999999999997,"Uncertain","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
685,"Andaman Shama","Kittacincla albiventris","Andaman Shama","Andaman Shama","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,0.790682011,13.94901402,0.4863068,0.0283,"Data Deficient","Uncertain","Restricted","Moderate","Resident","","","","","","","Generalists","",""
686,"White-gorgeted Flycatcher","Anthipes monileger","White-gorgeted Flycatcher","White-gorgeted Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,4.932822,0.2523,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
687,"Nilgiri Sholakili","Sholicola major","Nilgiri Sholakili","Nilgiri Sholakili","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Endangered","Schedule-IV","","X",NA,NA,19.18696837,62.45101188,1.5986807,0.0418999999999998,"Data Deficient","Uncertain","Restricted","High","Resident","Invertebrate","","","","","","Generalists","Western-Ghats","Invertebrate"
688,"White-bellied Sholakili","Sholicola albiventris","White-bellied Sholakili","White-bellied Sholakili","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Vulnerable","Schedule-IV","X","X",-12.30086598,167.6713653,1.083405761,28.8849099,1.0657352,0.0347,"Uncertain","Uncertain","Restricted","High","Resident","Invertebrate","","","","","","Generalists","Western-Ghats","Invertebrate"
689,"White-bellied Blue Flycatcher","Cyornis pallidipes","White-bellied Blue Flycatcher","White-bellied Blue Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-83.24509752,8.066862125,-1.900021284,8.039347728,10.8645362,0.041500000000001,"Strong Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","Western-Ghats","Invertebrate"
690,"Pale-chinned Flycatcher","Cyornis poliogenys","Pale-chinned Blue Flycatcher","Pale-chinned Blue Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,2.266652197,23.858653,7.6546606,0.0672000000000006,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
691,"Blue-throated Flycatcher","Cyornis rubeculoides","Blue-throated Flycatcher","Blue-throated Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-42.2105301,59.6574022,3.386826005,21.55420847,5.0494669,0.0856000000000003,"Uncertain","Uncertain","Moderate","Low","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
692,"Large Blue Flycatcher","Cyornis magnirostris","Large Blue Flycatcher","Large Blue Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,NA,NA,"Data Deficient","Data Deficient","Data Deficient","High","Migratory-Long-Distance","Invertebrate","","","","","","Forests","","Invertebrate"
693,"Tickell's Blue Flycatcher","Cyornis tickelliae","Tickell's Blue Flycatcher","Tickell's Blue Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-5.920074038,23.71565518,2.916537171,4.803873533,84.1720476,0.0760999999999967,"Stable","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Generalists","Others-Subcontinent","Invertebrate"
694,"Nicobar Jungle Flycatcher","Cyornis nicobaricus","Nicobar Jungle-Flycatcher","Nicobar Jungle-Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Near Threatened","Schedule-IV","","",NA,NA,NA,NA,0.0769,0,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","","","","","","","Forests","",""
695,"Large Niltava","Niltava grandis","Large Niltava","Large Niltava","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,0.477650743,22.54025267,7.902259,0.0884,"Data Deficient","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Forests","","Omnivorous"
696,"Small Niltava","Niltava macgrigoriae","Small Niltava","Small Niltava","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",23.37857212,85.65614,-0.618886872,12.10678732,16.5233866,0.0840000000000032,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
697,"Rufous-bellied Niltava","Niltava sundara","Rufous-bellied Niltava","Rufous-bellied Niltava","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-29.10505078,35.99149191,-12.4235657,5.446362368,16.514507,0.064700000000002,"Uncertain","Strong Decline","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
698,"Nilgiri Flycatcher","Eumyias albicaudatus","Nilgiri Flycatcher","Nilgiri Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,4.0704318,0.0327999999999999,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","Western-Ghats","Invertebrate"
699,"Verditer Flycatcher","Eumyias thalassinus","Verditer Flycatcher","Verditer Flycatcher","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",1.284337806,31.58249918,0.955545011,5.567790484,11.7349202,0.0522000000000009,"Uncertain","Uncertain","Moderate","Low","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
700,"Rusty-bellied Shortwing","Brachypteryx hyperythra","Rusty-bellied Shortwing","Rusty-bellied Shortwing","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Near Threatened","Schedule-IV","","",NA,NA,NA,NA,2.2386757,0.1041,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
701,"Gould's Shortwing","Heteroxenicus stellatus","Gould's Shortwing","Gould's Shortwing","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,0.8806343,0.0342,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Omnivore","","","","","","Forests","","Omnivorous"
702,"Lesser Shortwing","Brachypteryx leucophris","Lesser Shortwing","Lesser Shortwing","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,-4.053629806,63.41544601,8.3629116,0.113899999999999,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
703,"Indian Blue Robin","Larvivora brunnea","Indian Blue Robin","Indian Blue Robin","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-62.3992475,37.69014403,3.372753985,20.55477987,5.4397427,0.0731999999999999,"Uncertain","Uncertain","Moderate","Low","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
704,"Bluethroat","Luscinia svecica","Bluethroat","Bluethroat","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-30.78167807,31.34653464,1.554945665,8.274098858,56.4738304,0.089500000000001,"Uncertain","Uncertain","Large","Low","Migratory-Local","Invertebrate","","","","","","Wetlands","","Invertebrate"
705,"Malabar Whistling Thrush","Myophonus horsfieldii","Malabar Whistling-Thrush","Malabar Whistling-Thrush","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-48.20029088,25.7224061,-5.803643871,7.183377901,18.7470431,0.0363000000000007,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","Others-Subcontinent","Invertebrate"
706,"Blue Whistling Thrush","Myophonus caeruleus","Blue Whistling-Thrush","Blue Whistling-Thrush","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-8.69561559,32.61548628,0.604987052,6.491595254,30.5716709,0.0507999999999988,"Uncertain","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
707,"Little Forktail","Enicurus scouleri","Little Forktail","Little Forktail","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-29.8045674,47.72777142,-3.567316613,10.66442279,15.3638852,0.0754999999999999,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
708,"Spotted Forktail","Enicurus maculatus","Spotted Forktail","Spotted Forktail","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-16.00162384,47.3213407,-3.701883116,8.441670488,16.6013821,0.061200000000003,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
709,"Black-backed Forktail","Enicurus immaculatus","Black-backed Forktail","Black-backed Forktail","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,-3.380284561,82.59661393,10.9888868,0.0842000000000009,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
710,"Slaty-backed Forktail","Enicurus schistaceus","Slaty-backed Forktail","Slaty-backed Forktail","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,9.426111815,53.34880553,10.2618886,0.0720999999999989,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
711,"Siberian Rubythroat","Calliope calliope","Siberian Rubythroat","Siberian Rubythroat","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,-14.15661197,12.67169784,4.9652817,0.0919999999999996,"Data Deficient","Moderate Decline","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","","","","","","Wetlands","","Invertebrate"
712,"Himalayan Rubythroat","Calliope pectoralis","Himalayan Rubythroat","Himalayan Rubythroat","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,29.8168143,97.59467106,11.9599905,0.1296,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Grassland/Scrub","","Invertebrate"
713,"Chinese Rubythroat","Calliope tschebaiewi","Chinese Rubythroat","Chinese Rubythroat","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,0.125,0,"Data Deficient","Data Deficient","Very Restricted","High","Migratory-Local","Invertebrate","","","","","","Grassland/Scrub","","Invertebrate"
714,"White-tailed Robin","Myiomela leucura","White-tailed Robin","White-tailed Robin","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","X",NA,NA,-19.82848114,8.647912109,7.8470161,0.1126,"Data Deficient","Strong Decline","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
715,"Blue-fronted Robin","Cinclidium frontale","Blue-fronted Robin","Blue-fronted Robin","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,2.4459591,0.0924,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
716,"Himalayan Bush Robin","Tarsiger rufilatus","Himalayan Bluetail","Himalayan Bluetail","Old World Flycatchers","Passeriformes","Muscicapidae (Old World Flycatchers)","Least Concern","Schedule-IV","X","X",-27.39975314,54.72119463,8.399799631,16.89779283,14.8011995,0.065900000000001,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
